,Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
200,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,103932.0,
201,FIREFIGHTER (PER ARBITRATORS AWARD)-EMT,FIRE,F,Salary,,107106.0,
202,ASST DIR,POLICE,F,Salary,,95736.0,
203,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,F,Salary,,94524.0,
204,LABOR RELATIONS SUPVSR,FLEET & FACILITY MANAGEMENT,F,Salary,,70272.0,
205,BRIDGE OPERATOR,TRANSPORTN,F,Salary,,66564.0,
206,SERGEANT,POLICE,F,Salary,,111474.0,
207,POLICE OFFICER,POLICE,F,Salary,,90024.0,
208,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,39.98
209,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
210,POLICE OFFICER,POLICE,F,Salary,,84054.0,
211,POLICE OFFICER,POLICE,F,Salary,,84054.0,
212,FIREFIGHTER-EMT,FIRE,F,Salary,,89148.0,
213,FIREFIGHTER-EMT,FIRE,F,Salary,,92274.0,
214,LABORER - APPRENTICE,WATER MGMNT,F,Hourly,40.0,,25.63
215,CLERK IV,FINANCE,F,Salary,,40020.0,
216,DEPUTY COMMISSIONER,PLANNING AND DEVELOPMENT,F,Salary,,123996.0,
217,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
218,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
219,ANIMAL CARE AIDE I,ANIMAL CONTRL,F,Salary,,73104.0,
220,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
221,SANITATION CLERK,STREETS & SAN,F,Salary,,73068.0,
222,PARAMEDIC I/C,FIRE,F,Salary,,91080.0,
223,POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
224,EDITORIAL ASST,CITY CLERK,F,Salary,,69828.0,
225,SERGEANT,POLICE,F,Salary,,104628.0,
226,POLICE OFFICER,POLICE,F,Salary,,90024.0,
227,POLICE OFFICER,POLICE,F,Salary,,72510.0,
228,POLICE OFFICER,POLICE,F,Salary,,87006.0,
229,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,F,Salary,,70644.0,
230,POLICE OFFICER,POLICE,F,Salary,,80016.0,
231,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
232,STREET LIGHT REPAIR WORKER,TRANSPORTN,F,Salary,,107952.0,
233,SERGEANT,POLICE,F,Salary,,104628.0,
234,POLICE OFFICER,POLICE,F,Salary,,84054.0,
235,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
236,POLICE OFFICER,POLICE,F,Salary,,48078.0,
237,POLICE OFFICER,POLICE,F,Salary,,48078.0,
238,POLICE OFFICER,POLICE,F,Salary,,96060.0,
239,POLICE OFFICER,POLICE,F,Salary,,87006.0,
240,POLICE OFFICER,POLICE,F,Salary,,90024.0,
241,POLICE OFFICER,POLICE,F,Salary,,84054.0,
242,ADMINISTRATIVE SERVICES OFFICER II,TRANSPORTN,F,Salary,,116280.0,
243,POLICE OFFICER,POLICE,F,Salary,,84054.0,
244,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,103932.0,
245,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,F,Salary,,100980.0,
246,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
247,SERGEANT,POLICE,F,Salary,,101442.0,
248,SERGEANT,POLICE,F,Salary,,101442.0,
249,LOAD DISPATCHER,TRANSPORTN,F,Salary,,107952.0,
250,POLICE OFFICER,POLICE,F,Salary,,96060.0,
251,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,P,Hourly,20.0,,8.25
252,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,56304.0,
253,STUDENT INTERN - MAYOR'S FELLOWS,MAYOR'S OFFICE,F,Hourly,35.0,,20.0
254,LIBRARIAN I,PUBLIC LIBRARY,F,Salary,,79836.0,
255,POLICE OFFICER,POLICE,F,Salary,,93354.0,
256,FIRE ENGINEER-EMT,FIRE,F,Salary,,103350.0,
257,POLICE OFFICER,POLICE,F,Salary,,93354.0,
258,ASST DIR OF NEWS AFFAIRS,POLICE,F,Salary,,115656.0,
259,FIREFIGHTER-EMT,FIRE,F,Salary,,89148.0,
260,CAPTAIN-EMT,FIRE,F,Salary,,128826.0,
261,POLICE OFFICER,POLICE,F,Salary,,87006.0,
262,LABORER,AVIATION,F,Hourly,40.0,,37.09
263,POLICE OFFICER,POLICE,F,Salary,,72510.0,
264,POLICE OFFICER,POLICE,F,Salary,,76266.0,
265,CHIEF PROGRAMMER/ANALYST,WATER MGMNT,F,Salary,,133644.0,
266,PARKING ENFORCEMENT AIDE,FINANCE,F,Salary,,58644.0,
267,POLICE OFFICER,POLICE,F,Salary,,76266.0,
268,CHIEF VOUCHER EXPEDITER - EXCL,TRANSPORTN,F,Salary,,61776.0,
269,DEPUTY COMMISSIONER,AVIATION,F,Salary,,126504.0,
270,CRIMINAL HISTORY ANALYST,POLICE,F,Salary,,96564.0,
271,SENIOR RESEARCH ANALYST,PLANNING AND DEVELOPMENT,F,Salary,,88152.0,
272,DATA ENTRY OPERATOR,TRANSPORTN,F,Salary,,52800.0,
273,FIELD SERVICE SPECIALIST II,TRANSPORTN,F,Salary,,65892.0,
274,CHIEF AIRPORT OPERATIONS SUPVSR,AVIATION,F,Salary,,82788.0,
275,POLICE OFFICER,POLICE,F,Salary,,72510.0,
276,DIR OF INFORMATION SYSTEMS,FAMILY & SUPPORT,F,Salary,,110052.0,
277,POLICE OFFICER,POLICE,F,Salary,,90024.0,
278,POLICE OFFICER,POLICE,F,Salary,,93354.0,
279,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,P,Hourly,20.0,,16.87
280,PERSONAL COMPUTER OPERATOR I,POLICE,F,Salary,,57924.0,
281,PUBLIC HEALTH NURSE IV,HEALTH,F,Salary,,114948.0,
282,POLICE OFFICER,POLICE,F,Salary,,93354.0,
283,CUSTODIAL WORKER,AVIATION,F,Hourly,40.0,,14.6
284,CROSSING GUARD - PER CBA,OEMC,P,Hourly,20.0,,14.54
285,PROJECTS ADMINISTRATOR,FINANCE,F,Salary,,94800.0,
286,POLICE OFFICER,POLICE,F,Salary,,84054.0,
287,LIBRARIAN I,PUBLIC LIBRARY,F,Salary,,58956.0,
288,POLICE OFFICER,POLICE,F,Salary,,68616.0,
289,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
290,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
291,POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
