,Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
660,Toyota,Used,Petrol,106630.0,Corolla XLI,1165000,Karachi,Cash,2011.0
661,Suzuki,New,CNG,1200.0,Margalla,295000,Karachi,Cash,1993.0
662,Toyota,New,Petrol,56000.0,Passo,1090000,Karachi,Cash,2010.0
663,Toyota,Used,Petrol,27000.0,Vitz,975000,Karachi,Cash,2013.0
664,Suzuki,Used,Petrol,115000.0,Swift,850000,Karachi,Cash,2010.0
665,Honda,Used,Petrol,73000.0,Civic VTi Oriel Prosmatec,1325000,Karachi,Cash,2011.0
666,Suzuki,Used,CNG,412002.0,Khyber,284999,Karachi,Cash,1998.0
667,Suzuki,Used,Petrol,50000.0,Alto,590000,Islamabad,Cash,2012.0
668,Suzuki,Used,Petrol,50000.0,Mehran VXR,370000,Karachi,Cash,2009.0
669,Daewoo,Used,CNG,90000.0,Racer,180000,Karachi,Cash,1996.0
670,Toyota,Used,Petrol,71000.0,Corolla GLI,1350000,Karachi,Cash,2012.0
671,Toyota,Used,CNG,120000.0,Corolla XE,665000,Karachi,Cash,1999.0
672,Daihatsu,Used,CNG,67000.0,Mira,1020000,Karachi,Cash,2014.0
673,Honda,Used,Petrol,1.0,Civic Prosmetic,1250000,Karachi,Cash,2010.0
674,Suzuki,Used,Petrol,79000.0,Liana,541000,Karachi,Cash,2006.0
675,Suzuki,Used,CNG,57000.0,Alto,615000,Karachi,Cash,2011.0
676,Suzuki,Used,CNG,1122.0,Alto,450000,Karachi,Cash,2008.0
677,Suzuki,Used,Petrol,47000.0,Alto,650000,Karachi,Cash,2012.0
678,Toyota,Used,Hybrid,118000.0,Prius,2350000,Karachi,Cash,2014.0
679,Suzuki,Used,CNG,1.0,Alto,365000,Karachi,Cash,2004.0
680,Suzuki,Used,Petrol,80000.0,Cultus VXR,770000,Karachi,Cash,2011.0
681,Honda,Used,CNG,150000.0,Other,545000,Karachi,Cash,2000.0
682,Toyota,Used,Petrol,74000.0,Belta,1225000,Karachi,Cash,2011.0
683,Daihatsu,Used,Petrol,48000.0,Atrai Wagon,1025000,Karachi,Cash,2011.0
684,Suzuki,Used,CNG,1.0,Cultus VXR,620000,Karachi,Cash,2008.0
685,Toyota,Used,Petrol,145500.0,Vitz,725000,Karachi,Cash,1999.0
686,Suzuki,Used,Petrol,3210.0,Alto,521000,Karachi,Cash,2011.0
687,Mitsubishi,Used,Petrol,90000.0,Minicab Bravo,625000,Karachi,Cash,2011.0
688,Suzuki,New,CNG,70000.0,Liana,525000,Karachi,Cash,2006.0
689,Suzuki,New,Petrol,50000.0,Alto,485000,Karachi,Cash,2008.0
690,Suzuki,Used,Petrol,102500.0,Liana,669000,Karachi,Cash,2011.0
691,Toyota,Used,Petrol,125000.0,Corolla XE,845000,Karachi,Cash,2004.0
692,Suzuki,Used,CNG,85000.0,Cultus VXR,520000,Karachi,Cash,2006.0
693,Suzuki,Used,Petrol,56000.0,Cultus VXR,875000,Karachi,Cash,2014.0
694,Suzuki,Used,CNG,99999.0,FX,80000,Karachi,Cash,1988.0
695,Suzuki,Used,Petrol,1234.0,Mehran VX,205000,Karachi,Cash,1997.0
696,Suzuki,Used,CNG,1.0,Alto,365000,Karachi,Cash,2004.0
697,Toyota,New,Petrol,73200.0,Allion,1195000,Karachi,Cash,2003.0
698,Daihatsu,Used,CNG,1.0,Cuore,380000,Karachi,Cash,2003.0
699,Toyota,Used,Petrol,100000.0,Vitz,1035000,Karachi,Cash,2009.0
700,Toyota,Used,Petrol,99999.0,Corolla XLI,1265000,Karachi,Cash,2012.0
701,Nissan,New,Petrol,25000.0,Moco,1075000,Karachi,Cash,2014.0
702,Toyota,Used,Petrol,100000.0,Vitz,1035000,Karachi,Cash,2009.0
703,Toyota,Used,Petrol,99999.0,Corolla XLI,1265000,Karachi,Cash,2012.0
704,Nissan,New,Petrol,25000.0,Moco,1075000,Karachi,Cash,2014.0
705,Daihatsu,New,Petrol,94000.0,Cuore,675000,Karachi,Cash,2009.0
706,Honda,Used,Petrol,155000.0,Civic VTi Oriel,800000,Karachi,Cash,2005.0
707,Nissan,Used,Petrol,152636.0,Blue Bird,125000,Karachi,Cash,1969.0
708,Toyota,Used,Petrol,94000.0,Vitz,1275000,Karachi,Cash,2011.0
709,Toyota,New,Petrol,52999.0,Corolla GLI,1720000,Karachi,Cash,2014.0
710,Suzuki,Used,CNG,1.0,Mehran VX,160000,Karachi,Cash,1990.0
711,Suzuki,Used,Petrol,38000.0,Alto,515000,Karachi,Cash,2008.0
712,Suzuki,Used,CNG,68954.0,Bolan,572500,Karachi,Cash,2012.0
713,Suzuki,Used,CNG,25000.0,Khyber,230000,Karachi,Cash,1996.0
714,Suzuki,Used,CNG,100000.0,Bolan,160000,Karachi,Cash,1985.0
715,Toyota,Used,Petrol,1.0,Corrolla Altis,1400000,Karachi,Cash,2010.0
716,Suzuki,Used,Petrol,1.0,Margalla,250000,Karachi,Cash,1995.0
717,Toyota,New,Petrol,42000.0,Vitz,1400000,Karachi,Cash,2014.0
718,Toyota,Used,Petrol,95000.0,Corolla XLI,1080000,Karachi,Cash,2009.0
719,Suzuki,Used,CNG,100000.0,Cultus VXR,485000,Karachi,Cash,2006.0
720,Suzuki,Used,Hybrid,2500.0,Alto,1025000,Sialkot,Cash,2018.0
721,Honda,New,Petrol,9000.0,City IVTEC,1800000,Karachi,Cash,2017.0
722,Honda,Used,Petrol,100000.0,Civic VTi Oriel Prosmatec,700000,Karachi,Cash,2002.0
723,Toyota,Used,Petrol,135000.0,Platz,600000,Karachi,Cash,2006.0
724,Hyundai,Used,Petrol,1.0,Santro,460000,Karachi,Cash,2005.0
725,Suzuki,Used,CNG,70000.0,Mehran VX,385000,Karachi,Cash,2011.0
726,Suzuki,New,Petrol,1.0,Mehran VXR,840000,Karachi,Cash,2018.0
727,Toyota,New,Hybrid,31000.0,Aqua,2100000,Karachi,Cash,2015.0
728,Toyota,New,Petrol,89000.0,Vitz,1035000,Karachi,Cash,2009.0
729,Suzuki,New,CNG,64500.0,Mehran VXR,475000,Karachi,Cash,2011.0
730,Suzuki,Used,Petrol,60000.0,Cultus VXR,550000,Karachi,Cash,2007.0
731,Suzuki,Used,CNG,75000.0,FX,75000,Karachi,Cash,1986.0
732,Toyota,Used,Petrol,91000.0,Corolla XE,825000,Karachi,Cash,2002.0
733,Chevrolet,New,Petrol,80000.0,Exclusive,350000,Karachi,Cash,2005.0
734,Honda,Used,Petrol,81000.0,Civic Prosmetic,880000,Karachi,Cash,2004.0
735,Toyota,New,Petrol,16500.0,Corolla GLI,2075000,Karachi,Cash,2016.0
736,Daihatsu,Used,CNG,12312.0,Charade,255000,Karachi,Cash,1985.0
737,Nissan,New,CNG,1000.0,Sunny,165000,Karachi,Cash,1985.0
738,Suzuki,Used,CNG,87000.0,Cultus VXR,530000,Karachi,Cash,2005.0
739,Suzuki,Used,Petrol,56000.0,Swift,960000,Karachi,Cash,2010.0
740,Honda,Used,Petrol,32000.0,N Wgn,1178000,Karachi,Cash,2014.0
741,Toyota,Used,CNG,85000.0,Corolla XLI,935000,Karachi,Cash,2009.0
742,Suzuki,Used,CNG,3000.0,Alto,415000,Karachi,Cash,2005.0
743,Nissan,Used,Petrol,100000.0,Dayz Highway Star,1200000,Karachi,Cash,2014.0
744,Honda,Used,CNG,588.0,City IDSI,380000,Karachi,Cash,1998.0
745,Suzuki,Used,CNG,1000.0,Mehran VX,210000,Karachi,Cash,1995.0
746,Suzuki,Used,CNG,121230.0,Liana,490000,Karachi,Cash,2007.0
747,Toyota,Used,Petrol,90000.0,Vitz,1375000,Karachi,Cash,2012.0
748,Suzuki,Used,Petrol,106000.0,Cultus VXR,545000,Karachi,Cash,2006.0
749,Daihatsu,Used,CNG,100.0,Charade,100000,Karachi,Cash,1994.0
750,Toyota,Used,Hybrid,580000.0,Aqua,1560000,Karachi,Cash,2012.0
751,Toyota,Used,Petrol,999.0,Corolla GLI,1745000,Karachi,Cash,2015.0
752,Suzuki,Used,LPG,50000.0,Alto,390000,Karachi,Cash,2007.0
753,Honda,Used,Petrol,12000.0,City IVTEC,1875000,Karachi,Cash,2017.0
754,Suzuki,Used,Petrol,76.0,Cultus VXR,625000,Karachi,Cash,2008.0
755,Suzuki,Used,CNG,121230.0,Liana,490000,Karachi,Cash,2007.0
756,Suzuki,Used,Petrol,57000.0,Mehran VX,340000,Karachi,Cash,2008.0
757,Honda,Used,Petrol,86087.0,City IDSI,860000,Karachi,Cash,2008.0
758,Suzuki,Used,CNG,12345.0,Bolan,355000,Karachi,Cash,1998.0
759,Suzuki,Used,Petrol,219000.0,Alto,480000,Karachi,Cash,2006.0
760,Daewoo,Used,CNG,80000.0,Racer,140000,Karachi,Cash,1993.0
761,Toyota,Used,Petrol,192000.0,Corolla GLI,1200000,Karachi,Cash,2011.0
762,Toyota,Used,Diesel,65000.0,Surf,2700000,Karachi,Cash,2003.0
763,Suzuki,Used,Petrol,73000.0,Alto,525000,Karachi,Cash,2008.0
764,Toyota,New,Petrol,1.0,Belta,1400000,Karachi,Cash,2013.0
765,Daihatsu,Used,CNG,80000.0,Cuore,420000,Karachi,Cash,2004.0
766,Suzuki,Used,CNG,92000.0,Alto,570000,Karachi,Cash,2009.0
767,Toyota,Used,Petrol,44000.0,Corolla GLI,1200000,Karachi,Cash,2009.0
768,Toyota,New,Petrol,1200.0,Corolla XLI,1300000,Karachi,Cash,2013.0
769,Toyota,New,Petrol,60000.0,Corolla GLI,1630000,Karachi,Cash,2011.0
770,Suzuki,Used,Petrol,960000.0,Alto,480000,Karachi,Cash,2007.0
771,Daihatsu,Used,Petrol,111144.0,Mira,750000,Karachi,Cash,2007.0
772,Honda,Used,CNG,93000.0,City IDSI,675000,Karachi,Cash,2003.0
773,Toyota,New,Petrol,24000.0,Corrolla Altis,2800000,Karachi,Cash,2017.0
774,Suzuki,Used,Hybrid,100000.0,Alto,370000,Karachi,Cash,2005.0
775,Lexus,New,Hybrid,67000.0,CT200h,2150000,Karachi,Cash,2010.0
776,Suzuki,Used,Hybrid,1000.0,Alto,395000,Karachi,Cash,2002.0
777,Honda,Used,Petrol,142000.0,Accord,530000,Karachi,Cash,1998.0
778,Honda,Used,Petrol,200000.0,Other,400000,Karachi,Cash,1992.0
779,Suzuki,Used,Petrol,200000.0,Bolan,270000,Karachi,Cash,1990.0
780,Suzuki,New,Petrol,290000.0,FX,120000,Karachi,Cash,1984.0
781,Suzuki,Used,Petrol,24500.0,Bolan,650000,Lahore,Cash,2012.0
782,Suzuki,Used,Petrol,40000.0,Mehran VXR,315000,Karachi,Cash,2006.0
783,Suzuki,Used,CNG,100000.0,Alto,370000,Karachi,Cash,2005.0
784,Suzuki,Used,Petrol,53000.0,Every,900000,Karachi,Cash,2018.0
785,Honda,Used,Petrol,124000.0,Civic Prosmetic,970000,Karachi,Cash,2008.0
786,Suzuki,Used,Diesel,100000.0,Khyber,290000,Karachi,Cash,1997.0
787,Honda,Used,Petrol,60000.0,Civic Prosmetic,1400000,Karachi,Cash,2011.0
788,Toyota,Used,Petrol,80000.0,Corolla GLI,1620000,Karachi,Cash,2013.0
789,Honda,Used,Petrol,155000.0,City IDSI,950000,Karachi,Cash,2008.0
790,Honda,Used,Hybrid,160000.0,Civic EXi,180000,Karachi,Cash,1984.0
791,Suzuki,Used,Petrol,135000.0,Swift,950000,Lahore,Cash,2010.0
792,Suzuki,Used,Petrol,86000.0,Cultus VXR,620000,Karachi,Cash,2006.0
793,Toyota,Used,Petrol,87000.0,Vitz,1080000,Karachi,Cash,2010.0
794,Suzuki,Used,Hybrid,100000.0,Cultus VXR,480000,Karachi,Cash,2005.0
795,Honda,Used,Petrol,77000.0,Civic Prosmetic,1055000,Karachi,Cash,2007.0
796,KIA,Used,Diesel,108822.0,Sportage,2400000,Karachi,Cash,2007.0
797,Toyota,Used,Petrol,65000.0,Corolla XLI,1500000,Karachi,Cash,2013.0
798,Honda,New,Petrol,76000.0,City IDSI,770000,Karachi,Cash,2005.0
799,Suzuki,Used,Petrol,82000.0,Alto,485000,Karachi,Cash,2003.0
800,Toyota,Used,CNG,500000.0,Starlet,235000,Karachi,Cash,1988.0
801,Suzuki,Used,Petrol,32000.0,Cultus VXL,1065000,Karachi,Cash,2016.0
802,KIA,Used,Petrol,60000.0,Spectra,365000,Karachi,Cash,2001.0
803,KIA,Used,Petrol,60000.0,Spectra,360000,Karachi,Cash,2001.0
804,Honda,Used,Petrol,45000.0,City IVTEC,1375000,Karachi,Cash,2013.0
805,Toyota,Used,CNG,80000.0,86,280000,Karachi,Cash,1987.0
806,Suzuki,Used,CNG,460000.0,Mehran VXR,270000,Karachi,Cash,2006.0
807,Suzuki,Used,Petrol,1.0,Margalla,250000,Karachi,Cash,1994.0
808,Suzuki,Used,Petrol,84000.0,Swift,1040000,Karachi,Cash,2012.0
809,Toyota,Used,Petrol,82000.0,Vitz,1350000,Karachi,Cash,2012.0
810,Toyota,Used,CNG,100000.0,86,200000,Karachi,Cash,1986.0
811,Suzuki,Used,Petrol,88000.0,Cultus VXR,735000,Karachi,Cash,2011.0
812,Suzuki,Used,Petrol,76000.0,Kei,900000,Karachi,Cash,2007.0
813,Toyota,Used,Petrol,90000.0,Vitz,875000,Karachi,Cash,2007.0
814,Toyota,New,Petrol,94500.0,Vitz,935000,Karachi,Cash,2008.0
815,Hyundai,Used,Petrol,84553.0,Santro,470000,Karachi,Cash,2004.0
816,Daihatsu,Used,Petrol,80000.0,Mira,930000,Karachi,Cash,2011.0
817,Suzuki,New,Petrol,26000.0,Swift,1465000,Karachi,Cash,2017.0
818,Daihatsu,Used,CNG,1.0,Charade,245000,Karachi,Cash,1998.0
819,Daihatsu,Used,CNG,100000.0,Charade,160000,Karachi,Cash,1986.0
820,Suzuki,Used,CNG,128000.0,Cultus VXR,635000,Karachi,Cash,2008.0
821,Suzuki,Used,Hybrid,90842.0,Alto,510000,Karachi,Cash,2009.0
822,Toyota,Used,Petrol,74000.0,Vitz,1025000,Karachi,Cash,2008.0
823,Honda,Used,Hybrid,120000.0,Beat,430000,Karachi,Cash,2006.0
824,Suzuki,New,CNG,77000.0,Alto,548000,Karachi,Cash,2008.0
825,Honda,Used,CNG,70000.0,City IVTEC,880000,Karachi,Cash,2008.0
826,Suzuki,Used,CNG,200000.0,Cultus VXR,425000,Karachi,Cash,2005.0
827,Suzuki,Used,CNG,12345.0,Bolan,290000,Karachi,Cash,1992.0
828,Toyota,Used,Petrol,115000.0,Mark II,1100000,Karachi,Cash,2004.0
829,Toyota,Used,Petrol,140000.0,Corolla GLI,925000,Karachi,Cash,2005.0
830,Nissan,Used,Hybrid,1.0,Sunny,340000,Karachi,Cash,1989.0
831,Toyota,Used,Petrol,90000.0,Corrolla Altis,1850000,Karachi,Cash,2014.0
832,Honda,Used,Petrol,10000.0,Civic Prosmetic,819000,Karachi,Cash,2005.0
833,Daihatsu,Used,Petrol,33000.0,Hijet,915000,Karachi,Cash,2014.0
834,Suzuki,Used,Petrol,49700.0,Cultus VXR,875000,Karachi,Cash,2014.0
835,Suzuki,Used,Petrol,64000.0,Alto,600000,Karachi,Cash,2012.0
836,Toyota,Used,Petrol,140000.0,Corolla GLI,955000,Karachi,Cash,2005.0
837,Daihatsu,Used,Petrol,95000.0,Cuore,495000,Karachi,Cash,2008.0
838,Suzuki,Used,CNG,75000.0,Mehran VXR,260000,Karachi,Cash,2000.0
839,Suzuki,Used,Petrol,80000.0,Cultus VXR,580000,Karachi,Cash,2008.0
840,Suzuki,Used,CNG,81000.0,Alto,595000,Karachi,Cash,2010.0
841,Suzuki,Used,CNG,123654.0,Cultus VXR,350000,Karachi,Cash,2000.0
842,Suzuki,Used,CNG,67000.0,Alto,630000,Karachi,Cash,2012.0
843,Hyundai,Used,CNG,162000.0,Santro,380000,Karachi,Cash,2003.0
844,Toyota,Used,Hybrid,95000.0,Aqua,1675000,Karachi,Cash,2014.0
845,KIA,Used,CNG,1000000.0,Pride,120000,Karachi,Cash,1989.0
846,Toyota,Used,Petrol,96000.0,Corrolla Altis,1300000,Karachi,Cash,2010.0
847,Honda,Used,Petrol,55500.0,Civic Prosmetic,565000,Karachi,Cash,2000.0
848,Suzuki,Used,Petrol,59050.0,Cultus VXR,500000,Karachi,Cash,2006.0
849,Daihatsu,Used,CNG,2.0,Cuore,430000,Karachi,Cash,2006.0
850,Suzuki,New,CNG,82685.0,Alto,499999,Karachi,Cash,2008.0
851,Toyota,New,Petrol,56000.0,Vitz,1300000,Karachi,Cash,2011.0
852,Suzuki,Used,CNG,100000.0,Cultus VXR,480000,Karachi,Cash,2006.0
853,Toyota,Used,Petrol,101000.0,Vitz,975000,Karachi,Cash,2008.0
854,Suzuki,Used,Petrol,19800.0,Mehran VXR,550000,Karachi,Cash,2012.0
855,Honda,Used,Petrol,50810.0,Civic VTi Oriel Prosmatec,1915000,Karachi,Cash,2013.0
856,Toyota,Used,Petrol,87000.0,Passo,885000,Karachi,Cash,2011.0
857,Honda,Used,Petrol,89000.0,Airwave,1025000,Karachi,Cash,2007.0
